,qual_pos,driver,qual_time,race_num,year
416,7,   Christopher Bell,29.514   ,11,2018
417,9,   Chase Briscoe,29.597   ,11,2018
418,11,   Ty Majeski,29.780   ,11,2018
419,13,   Elliott Sadler,29.779   ,11,2018
420,15,   Ryan Truex,29.842   ,11,2018
421,17,   Daniel Hemric,29.903   ,11,2018
422,19,   Matt Tifft,29.990   ,11,2018
423,21,   Ryan Sieg,30.177   ,11,2018
424,23,   Dylan Lupton,30.545   ,11,2018
425,25,   Michael Annett,30.139   ,11,2018
426,27,   Alex Labbe,30.289   ,11,2018
427,29,   Jeff Green,30.358   ,11,2018
428,31,   Tommy Joe Martins,30.584   ,11,2018
429,33,   Spencer Boyd,30.892   ,11,2018
430,35,   David Starr,30.951   ,11,2018
431,37,"   Ray Black, Jr.",31.116   ,11,2018
432,39,   Brandon Hightower,31.588   ,11,2018
433,41,   Chad Finchum,30.981   ,11,2018
434,43,   Mike Harmon,31.785   ,11,2018
435,2,   Cole Custer,29.331   ,11,2018
436,4,   Tyler Reddick,29.438   ,11,2018
437,6,   Chase Elliott,29.485   ,11,2018
438,8,   Austin Cindric,29.530   ,11,2018
439,10,   Justin Allgaier,29.708   ,11,2018
440,12,   Jamie McMurray,29.810   ,11,2018
441,14,   Ty Dillon,29.825   ,11,2018
442,16,   Kaz Grala,29.883   ,11,2018
443,18,   Ross Chastain,29.957   ,11,2018
444,20,   Jeremy Clements,30.048   ,11,2018
445,22,   J.J. Yeley,30.191   ,11,2018
446,24,   Timmy Hill,   ,11,2018
447,26,   Joey Gase,30.170   ,11,2018
448,28,   Joe Nemechek,30.349   ,11,2018
449,30,   B.J. McLeod,30.438   ,11,2018
450,32,   Vinnie Miller,30.870   ,11,2018
451,34,   Josh Williams,30.928   ,11,2018
452,36,   Garrett Smithley,31.089   ,11,2018
453,38,   Josh Bilicki,31.584   ,11,2018
454,40,   Ryan Reed,   ,11,2018
455,42,   Morgan Shepherd,31.229   ,11,2018
456,1,   Cole Custer,55.754   ,12,2018
457,3,   Austin Cindric,55.827   ,12,2018
458,5,   Christopher Bell,55.864   ,12,2018
459,7,   Elliott Sadler,56.003   ,12,2018
460,9,   Tyler Reddick,56.233   ,12,2018
461,11,   Daniel Hemric,56.390   ,12,2018
462,13,   Paul Menard,56.827   ,12,2018
463,15,   Kaz Grala,56.901   ,12,2018
464,17,   Ryan Sieg,57.075   ,12,2018
465,19,   Justin Allgaier,57.141   ,12,2018
466,21,   Matt Tifft,57.511   ,12,2018
467,23,   Alex Labbe,57.786   ,12,2018
468,25,   J.J. Yeley,58.063   ,12,2018
469,27,   Tommy Joe Martins,58.350   ,12,2018
470,29,   David Starr,58.910   ,12,2018
471,31,   Matt Mills,59.228   ,12,2018
472,33,   Jeff Green,59.244   ,12,2018
473,35,   Chad Finchum,59.791   ,12,2018
474,37,   Garrett Smithley,59.981   ,12,2018
475,39,   Josh Bilicki,1:00.715   ,12,2018
476,41,   Morgan Shepherd,59.934   ,12,2018
477,2,   Ryan Truex,55.790   ,12,2018
478,4,   Kyle Busch,55.850   ,12,2018
479,6,   Brandon Jones,55.972   ,12,2018
480,8,   John Hunter Nemechek,56.045   ,12,2018
481,10,   Chase Elliott,56.250   ,12,2018
482,12,   Ross Chastain,56.550   ,12,2018
483,14,   Jeremy Clements,56.893   ,12,2018
484,16,   Chase Briscoe,56.975   ,12,2018
485,18,   Shane Lee,57.102   ,12,2018
486,20,   Ryan Reed,57.416   ,12,2018
487,22,   Michael Annett,57.578   ,12,2018
488,24,   Joey Gase,57.998   ,12,2018
489,26,   Dylan Lupton,58.149   ,12,2018
490,28,   B.J. McLeod,58.533   ,12,2018
491,30,   Vinnie Miller,59.200   ,12,2018
492,32,   Josh Williams,59.229   ,12,2018
493,34,   Timmy Hill,59.552   ,12,2018
494,36,   Spencer Boyd,59.853   ,12,2018
495,38,   Brandon Hightower,1:00.426   ,12,2018
496,40,   Mike Harmon,1:00.898   ,12,2018
497,1,   Kyle Busch,   ,13,2018
498,3,   Elliott Sadler,   ,13,2018
499,5,   Daniel Hemric,   ,13,2018
500,7,   Christopher Bell,   ,13,2018
501,9,   Justin Allgaier,   ,13,2018
502,11,   Brandon Jones,   ,13,2018
503,13,   Austin Dillon,   ,13,2018
504,15,   Ryan Reed,   ,13,2018
505,17,   Michael Annett,   ,13,2018
506,19,   Joey Gase,   ,13,2018
507,21,   Jeremy Clements,   ,13,2018
508,23,   Caesar Bacarella,   ,13,2018
509,25,   Tommy Joe Martins,   ,13,2018
510,27,   J.J. Yeley,   ,13,2018
511,29,   Austin Cindric,   ,13,2018
512,31,   Jeff Green,   ,13,2018
513,33,   Josh Bilicki,   ,13,2018
514,35,   Brandon Hightower,   ,13,2018
515,37,   Timmy Hill,   ,13,2018
516,39,   Morgan Shepherd,   ,13,2018
517,2,   Paul Menard,   ,13,2018
518,4,   Cole Custer,   ,13,2018
519,6,   Tyler Reddick,   ,13,2018
520,8,   John Hunter Nemechek,   ,13,2018
521,10,   Alex Bowman,   ,13,2018
522,12,   Ryan Truex,   ,13,2018
523,14,   Matt Tifft,   ,13,2018
524,16,   Ross Chastain,   ,13,2018
525,18,   Ryan Sieg,   ,13,2018
526,20,   Alex Labbe,   ,13,2018
527,22,   Garrett Smithley,   ,13,2018
528,24,   Kevin Harvick,   ,13,2018
529,26,   Josh Williams,   ,13,2018
