,finish_pos,qual_pos,season_mid,season_high,season_low,season_avg,seasonpassdif,seasongreenpass,seasongreenpassed,seasonqualitypass,seasonfastlap,seasontop15,seasonlapled,seasonDR,DFS_avg,last_year_flag,season_long_mid,season_long_high,season_long_low,season_long_avg,seasonlongpassdif,seasonlonggreenpass,seasonlonggreenpassed,seasonlongqualitypass,seasonlongfastlap,seasonlongtop15,seasonlonglapled,seasonlongDR,DFS_avg_season,DFS,DfsRank,top3,top5,top10,car_make_Chevrolet,car_make_Ford,car_make_Toyota,owner_23XI Racing,owner_JTG-Daugherty Racing,owner_Jack Roush,owner_Joe Gibbs,owner_Matt Kaulig,owner_Richard Childress,owner_Richard Petty Motorsports,owner_Rick Hendrick,owner_Roger Penske,owner_Stewart-Haas Racing,owner_Trackhouse Racing,owner_Wood Brothers,group_len_0.5,group_len_1.0,group_len_1.5,group_len_2.0,group_len_2.7,group_len_3.0
2551,1.0,31.0,14.0,1.5,27.5,14.5,4.5,86.5,76.0,39.0,3.5,161.0,0.0,85.4,29.55,1.0,15.857142857142858,2.2857142857142856,29.071428571428573,15.142857142857142,2.7142857142857144,83.92857142857143,81.21428571428571,47.0,6.857142857142857,186.35714285714286,4.285714285714286,83.34285714285713,26.514285714285716,115.35,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2552,17.0,32.0,19.0,15.0,35.0,22.0,4.0,78.0,64.0,0.0,4.0,1.0,0.0,60.2,18.45,1.0,22.666666666666668,12.0,33.0,23.666666666666668,-0.6666666666666666,68.0,68.66666666666667,14.666666666666666,3.0,50.0,0.0,55.23333333333334,14.683333333333332,41.0,11.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2553,2.0,35.0,16.5,4.0,26.5,15.5,-1.5,86.0,81.5,38.5,5.0,167.5,0.0,75.25,33.525,1.0,16.714285714285715,4.571428571428571,27.642857142857142,15.5,5.785714285714286,93.35714285714286,87.57142857142857,40.214285714285715,8.0,161.85714285714286,0.5714285714285714,78.82857142857144,37.028571428571425,75.45,2.0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2554,28.0,37.0,13.5,1.5,28.5,13.5,2.5,94.5,87.5,43.5,2.0,164.5,0.5,82.6,36.725,1.0,13.357142857142858,3.0714285714285716,27.642857142857142,13.785714285714286,2.0714285714285716,88.64285714285714,86.57142857142857,46.357142857142854,2.2142857142857144,184.14285714285714,2.857142857142857,83.88571428571429,31.425,25.7,18.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2555,20.0,1.0,14.0,2.0,27.0,9.0,-18.0,92.0,110.0,49.0,2.0,235.0,0.0,103.0,38.9,0.0,14.0,2.0,27.0,9.0,-18.0,92.0,110.0,49.0,2.0,235.0,0.0,103.0,38.9,4.45,33.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2556,8.0,2.0,3.0,1.0,31.0,4.0,33.0,79.0,46.0,47.0,33.0,260.0,102.0,139.8,115.35,0.0,3.0,1.0,31.0,4.0,33.0,79.0,46.0,47.0,33.0,260.0,102.0,139.8,115.35,50.2,7.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2557,1.0,3.0,9.0,1.0,17.0,5.0,16.0,86.0,70.0,72.0,18.0,267.0,5.0,116.0,62.35,0.0,9.0,1.0,17.0,5.0,16.0,86.0,70.0,72.0,18.0,267.0,5.0,116.0,62.35,98.4,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2558,6.0,4.0,1.0,1.0,22.0,5.0,15.0,82.0,67.0,66.0,28.0,259.0,37.0,119.1,68.85,0.0,1.0,1.0,22.0,5.0,15.0,82.0,67.0,66.0,28.0,259.0,37.0,119.1,68.85,40.2,11.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2559,4.0,6.0,8.0,1.0,28.0,13.0,33.0,135.0,102.0,49.0,2.0,149.0,0.0,81.7,22.9,0.0,8.0,1.0,28.0,13.0,33.0,135.0,102.0,49.0,2.0,149.0,0.0,81.7,22.9,59.6,4.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2560,19.0,7.0,4.0,1.0,28.0,7.0,-2.0,104.0,106.0,66.0,31.0,235.0,0.0,111.6,46.95,0.0,4.0,1.0,28.0,7.0,-2.0,104.0,106.0,66.0,31.0,235.0,0.0,111.6,46.95,12.9,26.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
