,qual_pos,season_mid,season_high,season_low,season_avg,seasonpassdif,seasongreenpass,seasongreenpassed,seasonqualitypass,seasonfastlap,seasontop15,seasonlapled,seasonDR,DFS_avg,last_year_flag,season_long_mid,season_long_high,season_long_low,season_long_avg,seasonlongpassdif,seasonlonggreenpass,seasonlonggreenpassed,seasonlongqualitypass,seasonlongfastlap,seasonlongtop15,seasonlonglapled,seasonlongDR,DFS_avg_season,DFS,DfsRank,owner_23XI Racing,owner_Archie St. Hilaire,owner_B.J. McLeod,owner_BK Racing,owner_Barney Visser,owner_Beard Motorsports,owner_Bob Jenkins,owner_Bryan Smith,owner_Carl Long,owner_Gaunt Brothers Racing,owner_Germain Racing,owner_JTG-Daugherty Racing,owner_Jack Roush,owner_Jay Robinson,owner_Joe Gibbs,owner_Leavine Family Racing,owner_Matt Kaulig,owner_Premium Motorsports,owner_Richard Childress,owner_Richard Petty Motorsports,owner_Rick Hendrick,owner_Rick Ware Racing,owner_Ricky Benton,owner_Roger Penske,owner_Spire Motorsports,owner_StarCom Racing,owner_Stewart-Haas Racing,owner_Tommy Baldwin,owner_Trackhouse Racing,owner_Wood Brothers,car_make_Chevrolet,car_make_Ford,car_make_Toyota,group_len_0.5,group_len_1.0,group_len_1.5,group_len_2.0,group_len_2.7,group_len_3.0
2393,29.0,25.5,7.0,35.5,25.0,-16.0,77.5,93.5,6.0,3.5,13.0,0.0,52.85,29.075,1.0,25.5,7.0,35.5,25.0,-16.0,77.5,93.5,6.0,3.5,13.0,0.0,52.85,29.075,23.9,18.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2394,30.0,29.0,13.0,34.0,29.5,-1.0,57.0,57.0,0.5,0.5,0.0,0.0,42.65,14.0,1.0,28.333333333333332,14.583333333333334,34.916666666666664,29.666666666666668,-3.25,56.583333333333336,59.833333333333336,3.9166666666666665,1.4166666666666667,5.916666666666667,0.0,43.291666666666664,14.804166666666665,41.9,8.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2395,31.0,37.5,34.0,39.5,38.0,-1.5,7.0,8.5,0.0,0.0,0.0,0.0,25.05,4.5,1.0,37.166666666666664,34.0,39.333333333333336,37.166666666666664,-0.8333333333333334,7.666666666666667,8.5,0.0,0.3333333333333333,0.0,0.0,25.8,7.316666666666666,10.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2396,32.0,34.0,19.0,37.0,35.0,-1.0,16.0,18.0,0.0,0.0,0.0,0.0,31.5,10.35,1.0,33.2,18.8,38.0,33.6,-0.4,22.6,23.0,0.0,0.6,2.2,0.0,32.54,9.07,9.0,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
2397,34.0,36.0,29.0,38.0,35.5,-3.0,12.5,9.5,0.0,0.5,0.0,0.0,31.200000000000003,6.725,1.0,35.0,27.0,38.166666666666664,35.166666666666664,-3.3333333333333335,14.666666666666666,18.0,0.0,0.8333333333333334,0.0,0.0,31.0,8.041666666666666,5.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2398,35.0,14.0,1.0,32.0,13.0,-5.0,101.0,106.0,44.5,4.5,188.5,3.5,79.7,30.95,1.0,14.583333333333334,1.75,29.416666666666668,13.5,-4.25,105.41666666666667,109.66666666666667,47.583333333333336,6.916666666666667,194.16666666666666,11.166666666666666,83.85833333333333,31.57083333333333,17.9,21.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2399,36.0,35.0,30.0,38.0,35.0,3.0,14.0,11.0,0.0,0.0,0.0,0.0,28.1,9.0,1.0,35.111111111111114,25.88888888888889,38.111111111111114,35.0,2.3333333333333335,15.0,12.666666666666666,0.0,0.2222222222222222,0.0,0.0,29.855555555555554,8.544444444444444,9.0,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2400,37.0,33.0,23.0,36.0,32.0,2.0,36.0,33.0,0.0,0.0,0.0,0.0,39.7,16.0,1.0,32.2,20.8,36.0,31.6,-4.6,35.2,39.8,1.4,0.4,0.4,0.0,38.220000000000006,16.78,23.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2401,38.0,39.0,33.0,40.0,39.0,1.0,7.0,8.0,0.0,0.0,0.0,0.0,26.5,4.0,1.0,38.0,29.4,39.8,38.2,0.0,6.6,6.6,0.0,0.6,0.0,0.0,25.839999999999996,6.07,3.9,33.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2402,1.0,10.5,3.0,30.5,16.0,-16.0,57.5,79.5,33.0,0.0,115.5,0.0,78.80000000000001,6.475,1.0,11.166666666666666,3.3333333333333335,29.166666666666668,15.5,-12.333333333333334,63.333333333333336,75.66666666666667,32.0,1.5,112.33333333333333,0.5,83.46666666666667,5.8,-0.05,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
