,finish_pos,qual_pos,season_mid,season_high,season_low,group_len,season_avg,seasonpassdif,seasongreenpass,seasongreenpassed,seasonqualitypass,seasonfastlap,seasontop15,seasonlapled,seasonDR,DFS_avg,season_long_mid,season_long_high,season_long_low,season_long_avg,seasonlongpassdif,seasonlonggreenpass,seasonlonggreenpassed,seasonlongqualitypass,seasonlongfastlap,seasonlongtop15,seasonlonglapled,seasonlongDR,DFS_avg_season,num_starts,DFS,DfsRank,top3,top5,top10,car_make_Chevrolet,car_make_Ford,car_make_Toyota,owner_Chip Ganassi,owner_Chris Our,owner_Fred Biagi,owner_Fury Race Cars,owner_JR Motorsports,owner_Jack Roush,owner_Jeremy Clements,owner_Jerry Brown,owner_Joe Gibbs,owner_Matt Hurley,owner_Matt Kaulig,owner_Maury Gallagher,owner_Richard Childress,owner_Roger Penske,owner_SS Green Light Racing,owner_Stewart Haas Racing
1666,10.0,6.0,2.0,2.0,38.0,0.5,11.0,20.0,63.0,43.0,44.0,2.0,211.0,0.0,92.4,34.9,3.0,30.0,11.0,-1.0,39.0,43.0,26.0,67.9,99.0,84.4,0.0,13.0,13.0,67.0,30.45,15.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1667,26.0,7.0,28.0,4.0,28.0,0.5,14.0,19.0,50.0,31.0,23.0,0.0,175.0,0.0,80.2,26.0,6.0,30.0,14.0,-2.0,44.0,36.0,23.0,50.0,69.0,51.1,0.0,13.0,16.0,389.0,-3.0,34.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1668,18.0,8.0,34.0,2.0,39.0,0.5,27.0,-4.0,50.0,54.0,11.0,1.0,66.0,0.0,79.3,20.45,1.0,26.0,6.0,11.0,41.0,31.0,27.0,75.5,98.0,93.9,4.7,13.0,8.0,51.0,38.7,13.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1669,25.0,9.0,10.0,3.0,33.0,0.5,12.0,41.0,72.0,31.0,35.0,5.0,183.0,0.0,85.9,24.25,3.0,31.0,14.0,-3.0,49.0,52.0,24.0,63.4,77.0,70.5,0.0,13.0,19.0,57.0,1.45,30.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1670,22.0,10.0,4.0,4.0,37.0,0.5,14.0,10.0,52.0,42.0,20.0,0.0,177.0,0.0,87.2,34.0,4.0,29.0,14.0,10.0,45.0,33.0,23.0,56.9,76.0,73.3,0.0,11.0,14.0,315.0,8.45,27.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1671,6.0,12.0,25.0,1.0,30.0,0.5,9.0,24.0,58.0,34.0,40.0,25.0,197.0,28.0,110.5,60.25,1.0,30.0,9.0,2.0,40.0,37.0,27.0,69.0,124.0,88.0,3.6,13.0,15.0,111.0,51.4,7.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1672,7.0,15.0,14.0,1.0,29.0,0.5,9.0,35.0,66.0,31.0,40.0,17.0,209.0,28.0,109.4,66.65,1.0,28.0,7.5,14.5,42.0,32.5,28.5,67.85,85.5,90.1,8.25,12.5,3.5,12.0,76.6,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1673,20.0,16.0,13.0,1.0,34.0,0.5,9.0,27.0,50.0,23.0,21.0,11.0,172.0,16.0,107.4,66.95,2.0,31.0,12.0,11.0,47.0,38.0,27.0,66.0,67.0,76.8,0.0,13.0,15.0,194.0,19.0,20.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1674,8.0,17.0,22.0,5.0,37.0,0.5,22.0,15.0,69.0,54.0,17.0,0.0,52.0,0.0,59.2,7.0,5.0,34.0,17.0,-7.0,38.0,49.0,18.0,38.0,52.0,51.3,0.0,13.0,17.0,110.0,45.0,9.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1675,5.0,20.0,9.0,2.0,38.0,0.5,21.0,-14.0,47.0,61.0,17.0,3.0,114.0,0.0,71.0,-7.65,4.0,31.0,13.0,7.0,45.0,45.0,19.0,44.0,81.0,76.3,0.0,13.0,13.0,67.0,54.45,6.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1676,12.0,1.0,3.0,1.0,19.0,0.5,5.5,21.0,50.0,29.0,42.0,15.5,243.0,17.0,121.0,58.725,1.5,26.5,8.0,7.0,44.0,26.5,28.5,79.65,127.0,94.05000000000001,0.0,13.5,9.5,94.0,26.4,18.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1677,4.0,2.0,15.5,1.5,29.5,0.5,10.0,5.5,55.0,49.5,33.5,3.0,200.5,0.0,99.69999999999999,35.85,1.0,27.0,7.0,7.0,42.0,30.5,30.5,73.1,137.5,94.4,4.1,13.5,9.5,364.0,75.85,2.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1678,11.0,3.0,7.5,1.0,22.0,0.5,6.5,34.0,60.5,26.5,47.0,25.0,229.5,47.5,118.15,71.625,1.0,28.0,7.0,15.0,44.0,31.0,30.0,68.2,88.0,92.0,10.0,13.0,3.0,12.0,27.6,16.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1679,10.0,4.0,15.5,1.0,25.5,0.5,8.0,14.0,58.5,44.5,42.5,16.0,220.0,22.5,108.2,55.825,1.0,29.5,9.0,2.5,43.5,38.5,27.5,69.7,132.5,89.0,5.15,13.5,14.5,112.0,65.95,4.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
