,race_num,track,length,year,date
47,12,Kansas,1.5,2019,2019-05-11
48,13,Charlotte,1.5,2019,2019-05-26
49,14,Pocono,2.5,2019,2019-06-02
50,15,Michigan,2.0,2019,2019-06-10
51,16,Sonoma,2.52,2019,2019-06-23
52,17,Chicago,1.5,2019,2019-06-30
53,18,Daytona,2.5,2019,2019-07-07
54,19,Kentucky,1.5,2019,2019-07-13
55,20,Loudon,1.058,2019,2019-07-21
56,21,Pocono,2.5,2019,2019-07-28
57,22,Watkins Glen,2.45,2019,2019-08-04
58,23,Michigan,2.0,2019,2019-08-11
59,24,Bristol,0.533,2019,2019-08-17
60,25,Darlington,1.366,2019,2019-09-01
61,26,Indianapolis,2.5,2019,2019-09-08
62,27,Las Vegas,1.5,2019,2019-09-15
63,28,Richmond,0.75,2019,2019-09-21
64,29,Charlotte (Road),2.28,2019,2019-09-29
65,30,Dover,1.0,2019,2019-10-06
66,31,Talladega,2.66,2019,2019-10-14
67,32,Kansas,1.5,2019,2019-10-20
68,33,Martinsville,0.526,2019,2019-10-27
69,34,Fort Worth,1.5,2019,2019-11-03
70,35,Phoenix,1.0,2019,2019-11-10
71,36,Homestead,1.5,2019,2019-11-17
72,01,Daytona,2.5,2020,2020-02-17
73,02,Las Vegas,1.5,2020,2020-02-23
74,03,Fontana,2.0,2020,2020-03-01
75,04,Phoenix,1.0,2020,2020-03-08
76,05,Darlington,1.366,2020,2020-05-17
77,06,Darlington,1.366,2020,2020-05-20
78,07,Charlotte,1.5,2020,2020-05-24
79,08,Charlotte,1.5,2020,2020-05-28
80,09,Bristol,0.533,2020,2020-05-31
81,10,Atlanta,1.54,2020,2020-06-07
82,11,Martinsville,0.526,2020,2020-06-10
83,12,Homestead,1.5,2020,2020-06-14
84,13,Talladega,2.66,2020,2020-06-22
85,14,Pocono,2.5,2020,2020-06-27
86,15,Pocono,2.5,2020,2020-06-28
87,16,Indianapolis,2.5,2020,2020-07-05
88,17,Kentucky,1.5,2020,2020-07-12
89,18,Fort Worth,1.5,2020,2020-07-19
90,19,Kansas,1.5,2020,2020-07-23
91,20,Loudon,1.058,2020,2020-08-02
92,21,Michigan,2.0,2020,2020-08-08
93,22,Michigan,2.0,2020,2020-08-09
94,23,Daytona (Road),3.61,2020,2020-08-16
95,24,Dover,1.0,2020,2020-08-22
96,25,Dover,1.0,2020,2020-08-23
97,26,Daytona,2.5,2020,2020-08-29
98,27,Darlington,1.366,2020,2020-09-06
99,28,Richmond,0.75,2020,2020-09-12
100,29,Bristol,0.533,2020,2020-09-19
101,30,Las Vegas,1.5,2020,2020-09-27
102,31,Talladega,2.66,2020,2020-10-04
103,32,Charlotte (Road),2.28,2020,2020-10-11
104,33,Kansas,1.5,2020,2020-10-18
105,34,Fort Worth,1.5,2020,2020-10-28
106,35,Martinsville,0.526,2020,2020-11-01
107,36,Phoenix,1.0,2020,2020-11-08
108,01,Daytona,2.5,2021,2021-02-14
109,02,Daytona (Road),3.61,2021,2021-02-21
110,03,Homestead,1.5,2021,2021-02-28
111,04,Las Vegas,1.5,2021,2021-03-07
112,05,Phoenix,1.0,2021,2021-03-14
113,06,Atlanta,1.54,2021,2021-03-21
114,07,Bristol (Dirt),0.533,2021,2021-03-29
115,08,Martinsville,0.526,2021,2021-04-11
116,09,Richmond,0.75,2021,2021-04-18
117,10,Talladega,2.66,2021,2021-04-25
118,11,Kansas,1.5,2021,2021-05-02
119,12,Darlington,1.366,2021,2021-05-09
120,13,Dover,1.0,2021,2021-05-16
121,14,Austin,3.41,2021,2021-05-23
122,15,Charlotte,1.5,2021,2021-05-30
123,16,Sonoma,2.52,2021,2021-06-06
124,17,Nashville,1.333,2021,2021-06-20
125,18,Pocono,2.5,2021,2021-06-26
126,19,Pocono,2.5,2021,2021-06-27
127,20,Elkhart Lake,4.048,2021,2021-07-04
128,21,Atlanta,1.54,2021,2021-07-11
129,22,Loudon,1.058,2021,2021-07-18
130,23,Watkins Glen,2.45,2021,2021-08-08
131,24,Indianapolis G.P.,2.439,2021,2021-08-15
132,25,Michigan,2.0,2021,2021-08-22
133,26,Daytona,2.5,2021,2021-08-28
134,27,Darlington,1.366,2021,2021-09-05
135,28,Richmond,0.75,2021,2021-09-11
136,29,Bristol,0.533,2021,2021-09-18
137,30,Las Vegas,1.5,2021,2021-09-26
138,31,Talladega,2.66,2021,2021-10-04
139,32,Charlotte (Road),2.28,2021,2021-10-10
140,33,Fort Worth,1.5,2021,2021-10-17
141,34,Kansas,1.5,2021,2021-10-24
142,35,Martinsville,0.526,2021,2021-10-31
143,36,Phoenix,1.0,2021,2021-11-07
144,01,Daytona,2.5,2022,2022-02-20
145,02,Fontana,2.0,2022,2022-02-27
146,03,Las Vegas,1.5,2022,2022-03-06
147,04,Phoenix,1.0,2022,2022-03-13
148,05,Atlanta,1.54,2022,2022-03-20
149,06,Austin,3.41,2022,2022-03-27
150,07,Richmond,0.5,2022,2022-04-03
