,qual_pos,driver,qual_time,race_num,year
161,23,   Jeffrey Earnhardt,   ,5,2018
162,25,   Denny Hamlin,   ,5,2018
163,27,   Aric Almirola,   ,5,2018
164,29,   William Byron,   ,5,2018
165,31,   Chase Elliott,   ,5,2018
166,33,   Jimmie Johnson,   ,5,2018
167,35,   Timmy Hill,   ,5,2018
168,37,   Cole Whitt,   ,5,2018
169,2,   Kyle Busch,38.619   ,5,2018
170,4,   Erik Jones,38.700   ,5,2018
171,6,   Joey Logano,38.798   ,5,2018
172,8,   Ryan Blaney,38.903   ,5,2018
173,10,   Kevin Harvick,39.038   ,5,2018
174,12,   Chris Buescher,39.058   ,5,2018
175,14,   Paul Menard,39.004   ,5,2018
176,16,"   Ricky Stenhouse, Jr.",39.169   ,5,2018
177,18,   Matt DiBenedetto,39.259   ,5,2018
178,20,   Gray Gaulding,41.105   ,5,2018
179,22,   Michael McDowell,   ,5,2018
180,24,   Reed Sorenson,   ,5,2018
181,26,   Clint Bowyer,   ,5,2018
182,28,   Alex Bowman,   ,5,2018
183,30,   Daniel Suarez,   ,5,2018
184,32,   A.J. Allmendinger,   ,5,2018
185,34,   Kasey Kahne,   ,5,2018
186,36,   Ross Chastain,   ,5,2018
187,1,"   Martin Truex, Jr.",   ,6,2018
188,3,   Joey Logano,   ,6,2018
189,5,   Ryan Blaney,   ,6,2018
190,7,   Kyle Larson,   ,6,2018
191,9,   Clint Bowyer,   ,6,2018
192,11,   Kurt Busch,   ,6,2018
193,13,   Erik Jones,   ,6,2018
194,15,   Paul Menard,   ,6,2018
195,17,"   Ricky Stenhouse, Jr.",   ,6,2018
196,19,   Bubba Wallace,   ,6,2018
197,21,   Chase Elliott,   ,6,2018
198,23,   Daniel Suarez,   ,6,2018
199,25,   A.J. Allmendinger,   ,6,2018
200,27,   Trevor Bayne,   ,6,2018
201,29,   Kasey Kahne,   ,6,2018
202,31,   Matt DiBenedetto,   ,6,2018
203,33,   Ross Chastain,   ,6,2018
204,35,   Cole Whitt,   ,6,2018
205,37,   D.J. Kennington,   ,6,2018
206,2,   Kyle Busch,   ,6,2018
207,4,   Brad Keselowski,   ,6,2018
208,6,   Denny Hamlin,   ,6,2018
209,8,   Kevin Harvick,   ,6,2018
210,10,   Aric Almirola,   ,6,2018
211,12,   Austin Dillon,   ,6,2018
212,14,   Ryan Newman,   ,6,2018
213,16,   Alex Bowman,   ,6,2018
214,18,   Jimmie Johnson,   ,6,2018
215,20,   William Byron,   ,6,2018
216,22,   Chris Buescher,   ,6,2018
217,24,   Michael McDowell,   ,6,2018
218,26,   Jamie McMurray,   ,6,2018
219,28,   David Ragan,   ,6,2018
220,30,   Harrison Rhodes,   ,6,2018
221,32,   Ty Dillon,   ,6,2018
222,34,   Gray Gaulding,   ,6,2018
223,36,   Landon Cassill,   ,6,2018
224,38,   J.J. Yeley,   ,6,2018
225,1,   Kurt Busch,27.360   ,7,2018
226,3,   Clint Bowyer,27.435   ,7,2018
227,5,   Denny Hamlin,27.515   ,7,2018
228,7,   Joey Logano,27.562   ,7,2018
229,9,   Jimmie Johnson,27.607   ,7,2018
230,11,   Brad Keselowski,27.689   ,7,2018
231,13,   Trevor Bayne,27.715   ,7,2018
232,15,   Bubba Wallace,27.726   ,7,2018
233,17,   Austin Dillon,27.757   ,7,2018
234,19,   Paul Menard,27.774   ,7,2018
235,21,   Erik Jones,27.810   ,7,2018
236,23,   Ty Dillon,27.861   ,7,2018
237,25,   Ryan Newman,27.905   ,7,2018
238,27,   Michael McDowell,27.919   ,7,2018
239,29,   David Ragan,28.082   ,7,2018
